replicate,time_CFU_trans,time_CFU_recip,Even_trans,prop_trans,ratio_trans,Even_recip,prop_recip,ratio_recip,trans_pop_size,recip_pop_size,carrying_cap
1,1.22742056200341,NA,0.199797902909632,1,7.7612849988251,0.161455635135769,0.666666666666667,5.19365189179735,5580830141,0,5623413251.903491
2,3.10487358501964,NA,0.00101438438588867,0.5,656.213060394876,0,0.333333333333333,NA,5580908726,0,5623413251.903491
3,0.488608034162988,NA,0.891450951627541,1,1.15587791354589,0,0.333333333333333,NA,5580832804,0,5623413251.903491
4,1.10096701265243,NA,0.00486286960461735,0.5,136.093264033578,0,0.333333333333333,NA,5580210083,2,5623413251.903491
5,0.748223705153938,NA,0.331275307674917,0.5,1.01242486602977,0,0.333333333333333,NA,5580860338,0,5623413251.903491
6,0.537588537898285,NA,0.880705791483818,1,1.37549518104891,0,0.333333333333333,NA,5576617585,1,5623413251.903491
7,0.699911595215757,NA,0,0.25,NA,0,0.333333333333333,NA,5580745568,1,5623413251.903491
8,1.80851431746745,NA,0.303929099724875,1,1.87663169381713,0.109361398039163,1,8.18090821629996,5580822199,1,5623413251.903491
9,0.62340801173387,NA,0.322549272712375,1,3.1584986740069,0,0.333333333333333,NA,5580740791,0,5623413251.903491
10,0.889521097376519,NA,0,0.25,NA,0,0.333333333333333,NA,5580880315,3,5623413251.903491
11,0.705219592490506,NA,0.811054941750279,1,1.7621484750376,0,0.333333333333333,NA,5581234558,2,5623413251.903491
12,0.986584856076054,NA,0,0.25,NA,0,0.333333333333333,NA,5580018428,0,5623413251.903491
13,0.683855333613317,NA,0.206374005507884,0.75,2.92535225968633,0.409555607158655,0.666666666666667,1.44167088063482,5578454734,1,5623413251.903491
14,2.64061433136791,NA,0.0248888750116749,0.75,33.6056355014348,0,0.333333333333333,NA,5581651880,1,5623413251.903491
15,1.05140607798275,NA,0.0134509012032068,1,84.0865066606519,0.0256985546876309,0.666666666666667,37.9126942022664,5580831118,0,5623413251.903491
16,0.546117523904515,NA,0.854337456521149,1,1.31771838909944,0.00482434142464405,0.666666666666667,206.282178432005,5581491157,0,5623413251.903491
17,0.680486048778204,NA,0,0.25,NA,0,0.333333333333333,NA,5580790066,0,5623413251.903491
18,1.66317775730453,NA,0.733434298439007,1,1.12652490668643,0,0.333333333333333,NA,5580840987,0,5623413251.903491
19,1.2023001180501,NA,0.0978430484337555,1,12.9736332217259,0,0.333333333333333,NA,5581478658,0,5623413251.903491
20,0.43890402549177,NA,0.920759682510235,1,1.0426374289284,0,0.333333333333333,NA,5582396483,2,5623413251.903491
21,0.612976125594576,NA,0.802204778891839,1,1.03124629105519,0.240037609531989,0.666666666666667,3.16601382570731,5580800103,0,5623413251.903491
22,0.792909065078368,NA,0,0.25,NA,0,0.333333333333333,NA,5580788702,0,5623413251.903491
23,0.515401492104418,NA,0.812188536231381,1,1.65999043313629,9.47290088770814e-4,0.666666666666667,1054.64284040761,5582493750,0,5623413251.903491
24,1.44710378944869,NA,0,0.25,NA,0,0.333333333333333,NA,5583643088,1,5623413251.903491
25,0.821969979591151,NA,0,0.25,NA,0,0.333333333333333,NA,5582054557,0,5623413251.903491
26,0.630573531609729,NA,0.123403069255223,0.5,4.40235077368996,0,0.333333333333333,NA,5577973056,3,5623413251.903491
27,1.14340820178302,NA,0.366232263053789,0.75,1.17208971725199,0,0.333333333333333,NA,5580828481,0,5623413251.903491
28,0.922066115406781,NA,0.188291595567473,1,2.86635966410616,0.00498834080487143,0.666666666666667,199.467457841579,5580310586,0,5623413251.903491
29,1.65416253079567,NA,0.436834708913041,1,3.949813540928,0,0.333333333333333,NA,5582333730,2,5623413251.903491
30,0.503614995480055,NA,0.903823952013972,1,1.17107795345036,0,0.333333333333333,NA,5580207341,0,5623413251.903491
31,0.541298869419294,NA,0.614752545918355,1,1.3209022594994,0.320031949705878,0.666666666666667,2.12468802230227,5580255439,0,5623413251.903491
32,0.594726250575639,NA,0.776779903731221,1,1.20995901784078,0.0692835337284197,0.666666666666667,13.4334439395057,5580776805,0,5623413251.903491
33,1.23540421098562,NA,0.573949849648842,0.75,1.10809909174115,0,0.333333333333333,NA,5580542207,1,5623413251.903491
34,1.56170376256391,NA,0.346082083159873,1,4.36258389197382,0,0.333333333333333,NA,5581518264,1,5623413251.903491
35,0.864829953601438,NA,0.0397088145611602,1,25.635936021375,0.0470950043230352,0.666666666666667,20.2336746619827,5580815052,0,5623413251.903491
36,1.38253288836956,NA,0.439658443176397,1,3.64154515162864,0.0127153030727662,0.666666666666667,77.6453924281059,5580833178,0,5623413251.903491
37,0.509088114710024,NA,0.904811131997945,1,1.00768591451292,0,0.333333333333333,NA,5581486286,2,5623413251.903491
38,0.926003365142819,NA,0,0.25,NA,0,0.333333333333333,NA,5580517601,1,5623413251.903491
39,0.588748265386366,NA,0.719045593385621,1,1.59674524469825,0,0.333333333333333,NA,5580176946,2,5623413251.903491
40,1.00548333002653,NA,0.562939843052506,1,2.23551629862755,0,0.333333333333333,NA,5578751582,1,5623413251.903491
41,1.08918397034463,NA,0.804363113276622,1,1.27503355669601,0,0.333333333333333,NA,5577737743,5,5623413251.903491
42,0.719226438046386,NA,0.597297711292264,1,1.50439202913614,9.56200206231106e-4,0.666666666666667,1044.80609111297,5580940022,0,5623413251.903491
43,0.525174425314051,NA,0.807156434706248,1,1.23847436377421,0,0.333333333333333,NA,5580881082,0,5623413251.903491
44,0.787383580245789,NA,0.751904936670278,1,1.16656512447987,0,0.333333333333333,NA,5580448727,0,5623413251.903491
45,1.38721462003281,NA,0.208376056702336,1,2.3445089127845,0,0.333333333333333,NA,5580869375,0,5623413251.903491
46,0.487166533403268,NA,0.929050529549912,1,1.03799462757443,0.00625162289471182,1,190.585698937078,5580853418,0,5623413251.903491
47,0.547131535632506,NA,0.686686134325254,1,1.50924700338361,0.0057654607671016,1,194.136872393363,5580756387,0,5623413251.903491
48,1.39838810515815,NA,0.62935472082154,1,1.44791536823678,0.413123453034813,0.666666666666667,1.42058395052128,5583961310,1,5623413251.903491
49,2.11362315918071,NA,0,0.25,NA,0,0.333333333333333,NA,5579310545,2,5623413251.903491
50,0.516247746938955,NA,0.867186710103532,1,1.15718434068814,0.100440759202649,0.666666666666667,8.95611749591017,5580148492,0,5623413251.903491
51,0.731701196370642,NA,0.390579763534991,1,2.8784220543772,0.0235235852653324,0.666666666666667,41.5105267211857,5579744266,0,5623413251.903491
52,1.44423881167613,NA,0.276294840976511,1,1.90280029219897,0,0.333333333333333,NA,5580780309,1,5623413251.903491
53,0.796269178270659,NA,0,0.25,NA,0,0.333333333333333,NA,5581390060,0,5623413251.903491
